Wage,Age,Club,League,Nation,Position,Apps,Caps,Wage by Apps
3190000,23,Sassuolo,Serie A,ITA,Forward,111,0,28738
3190000,27,Lazio,Serie A,ITA,Forward,218,0,14633
3190000,33,Inter,Serie A,ITA,Defender,384,6,8307
3190000,26,Capitoline,Serie A,ITA,Defender,168,9,18988
3190000,34,Sevilla,La Liga,ARG,Midfilder,509,14,6267
3190000,27,Brianza,Serie A,ITA,Midfilder,197,9,16192
3190000,24,Atalanta,Serie A,TUR,Defender,124,35,25725
3190000,31,Milan,Serie A,ITA,Defender,318,49,10031
3190000,25,Milan,Serie A,ITA,Defender,153,7,20849
3138000,22,Barcelona,La Liga,ESP,Forward,134,28,23417
3138000,31,Villarreal,La Liga,FRA,Midfilder,260,0,12069
3120000,32,Nottm Forest,Premier League,GHA,Forward,442,107,7058
3120000,28,Nottm Forest,Premier League,BRA,Forward,248,1,12580
3120000,23,Leeds,Premier League,USA,Defender,167,30,18682
3120000,27,Fulham,Premier League,POR,Midfilder,191,14,16335
3120000,25,Leeds,Premier League,ENG,Midfilder,215,0,14511
3120000,29,Crystal Palace,Premier League,GHA,Midfilder,285,19,10947
3120000,28,Strasbourg,Ligue 1 Uber Eats,FRA,Midfilder,272,0,11470
3120000,23,Leicester,Premier League,AUS,Defender,121,5,25785
3120000,37,West Ham,Premier League,POL,Goalkeeper,394,57,7918
3120000,23,West Ham,Premier League,ENG,Defender,175,32,17828
3120000,26,Southampton,Premier League,NGA,Midfilder,203,20,15369
3120000,35,Liverpool,Premier League,ESP,Goalkeeper,233,0,13390
3120000,33,Wolves,Premier League,ESP,Forward,394,24,7918
3120000,30,Southampton,Premier League,SCO,Midfilder,348,36,8965
3120000,23,Brighton,Premier League,ARG,Midfilder,148,5,21081
3120000,26,Aston Villa,Premier League,BFA,Midfilder,227,64,13744
3120000,24,Brighton,Premier League,ECU,Defender,202,31,15445
3120000,25,Wolves,Premier League,POR,Midfilder,250,30,12480
3120000,29,Everton,Premier League,ENG,Defender,365,10,8547
3120000,26,Southampton,Premier League,POL,Defender,208,42,15000
3120000,20,Leeds,Premier League,FRA,Forward,67,0,46567
3120000,26,Fulham,Premier League,SRB,Midfilder,217,30,14377
3120000,27,West Ham,Premier League,ALG,Forward,228,17,13684
3120000,24,Leicester,Premier League,BEL,Defender,162,1,19259
3120000,22,Tottenham,Premier League,ENG,Defender,154,0,20259
3120000,28,Southampton,Premier League,NOR,Midfilder,301,45,10365
3095000,28,Benfica,Primiera Liga,GER,Midfilder,292,58,10599
3095000,27,AS Monaco,Ligue 1 Uber Eats,POR,Midfilder,237,21,13059
3095000,27,Milan,Serie A,FRA,Goalkeeper,185,4,16729
3071000,20,RB Leipzig,Bundesliga,CRO,Defender,76,10,40407
3035000,31,Lazio,Serie A,URU,Midfilder,269,60,11282
3017000,30,Hoffenheim,Bundesliga,ISR,Forward,309,40,9763
3017000,22,Milan,Serie A,FRA,Defender,45,0,67044
3016000,27,Valencia,La Liga,ESP,Defender,304,17,9921
3016000,22,Arsenal,Premier League,POL,Defender,91,2,33142
3009000,26,Bayer 04,Bundesliga,GER,Defender,245,16,12281
3009000,23,VfL Wolfsburg,Bundesliga,GER,Forward,128,6,23507
3009000,29,RB Leipzig,Bundesliga,HUN,Defender,290,33,10375
3009000,29,Borussia M'gladbach,Bundesliga,FRA,Forward,263,1,11441
3009000,34,Borussia M'gladbach,Bundesliga,GER,Forward,434,11,6933
3009000,28,VfL Wolfsburg,Bundesliga,GER,Defender,233,1,12914
3009000,25,AS Monaco,Ligue 1 Uber Eats,SUI,Midfilder,212,56,14193
3007000,27,Borussia Dortmund,Bundesliga,GER,Defender,198,0,15186
3007000,32,Girona,La Liga,ESP,Defender,429,0,7009
3007000,32,RB Leipzig,Bundesliga,HUN,Goalkeeper,335,49,8976
2994000,24,RB Leipzig,Bundesliga,MLI,Midfilder,157,32,19070
2923000,30,OL,Ligue 1 Uber Eats,BRA,Defender,288,0,10149
2911000,28,RB Leipzig,Bundesliga,DEN,Midfilder,296,68,9834
2871000,34,Inter,Serie A,ITA,Defender,411,25,6985
2871000,23,Valencia,La Liga,NED,Midfilder,162,2,17722
2871000,27,Brianza,Serie A,ITA,Forward,249,1,11530
2871000,31,Atalanta,Serie A,COL,Forward,353,34,8133
2860000,26,Wolves,Premier League,KOR,Midfilder,193,47,14818
2860000,27,Brighton,Premier League,ENG,Defender,275,0,10400
2860000,21,Wolves,Premier League,BRA,Midfilder,59,0,48474
2860000,27,Fulham,Premier League,BRA,Forward,134,0,21343
2860000,30,West Ham,Premier League,CZE,Defender,275,30,10400
2860000,22,Arsenal,Premier League,ENG,Forward,77,3,37142
2860000,34,Crystal Palace,Premier League,SCO,Midfilder,533,32,5365
2860000,31,Leeds,Premier League,NIR,Defender,407,62,7027
2860000,28,Newcastle,Premier League,ENG,Defender,261,0,10957
2860000,19,Chelsea,Premier League,CIV,Forward,44,0,65000
2860000,27,Leicester,Premier League,GHA,Defender,169,44,16923
2860000,30,Fulham,Premier League,IRL,Defender,286,55,10000
2860000,26,Leeds,Premier League,ESP,Defender,160,0,17875
2852000,34,Capitoline,Serie A,POR,Goalkeeper,481,104,5929
2837000,27,Bayer 04,Bundesliga,IRN,Forward,221,63,12837
2802000,32,Eintracht Frankfurt,Bundesliga,GER,Goalkeeper,355,6,7892
2802000,30,Eintracht Frankfurt,Bundesliga,GER,Midfilder,285,63,9831
2800000,22,Capitoline,Serie A,ALB,Defender,64,15,43750
2786000,35,OM,Ligue 1 Uber Eats,FRA,Forward,544,38,5121
2767000,24,Fiorentina,Serie A,ARG,Midfilder,155,21,17851
2767000,35,Lazio,Serie A,ESP,Forward,483,65,5728
2767000,24,Leeds,Premier League,USA,Midfilder,137,35,20197
2767000,29,Juventus,Serie A,SRB,Defender,344,48,8043
2767000,26,Inter,Serie A,NED,Defender,224,34,12352
2761000,27,Vallecano,La Liga,ESP,Forward,295,4,9359
2751000,26,OL,Ligue 1 Uber Eats,FRA,Forward,228,0,12065
2751000,31,VfL Wolfsburg,Bundesliga,FRA,Defender,309,7,8902
2749000,29,1. FC Koln,Bundesliga,GER,Goalkeeper,334,0,8230
2735000,23,Bayer 04,Bundesliga,ARG,Midfilder,87,20,31436
2732000,25,OM,Ligue 1 Uber Eats,TUR,Midfilder,203,42,13458
2718000,29,Nottm Forest,Premier League,CIV,Defender,273,79,9956
2711000,30,Verona,Serie A,ITA,Forward,292,4,9284
2711000,30,Brianza,Serie A,ITA,Defender,277,3,9787
2690000,25,Rennes,Ligue 1 Uber Eats,FRA,Forward,168,0,16011
2690000,30,Sevilla,La Liga,ARG,Forward,298,25,9026
2682000,37,Rennes,Ligue 1 Uber Eats,FRA,Goalkeeper,551,34,4867
2621000,24,Vigo,La Liga,ESP,Midfilder,128,0,20476
2621000,26,Spezia,Serie A,UKR,Midfilder,159,33,16484
2600000,30,Real Hispalis,La Liga,BRA,Forward,357,0,7282
2600000,24,Fulham,Premier League,WAL,Midfilder,117,36,22222
2600000,22,Man UFC,Premier League,ENG,Defender,47,0,55319
2600000,24,Nottm Forest,Premier League,ENG,Defender,104,0,25000
2600000,32,Brentford,Premier League,ENG,Defender,372,0,6989
2600000,26,Fulham,Premier League,BRA,Midfilder,167,1,15568
2600000,25,Southampton,Premier League,ENG,Defender,91,2,28571
2600000,29,Brianza,Serie A,ESP,Defender,264,0,9848
2600000,31,Nottm Forest,Premier League,CIV,Defender,268,13,9701
2600000,23,Man UFC,Premier League,NED,Defender,104,5,25000
2600000,22,Nottm Forest,Premier League,ENG,Midfilder,111,0,23423
2600000,31,Brighton,Premier League,ENG,Forward,288,42,9027
2600000,33,Crystal Palace,Premier League,ENG,Defender,330,0,7878
2600000,24,Fulham,Premier League,ENG,Defender,143,0,18181
2600000,26,Southampton,Premier League,SCO,Forward,342,19,7602
2600000,29,Wolves,Premier League,GAB,Midfilder,220,25,11818
2600000,27,West Ham,Premier League,CZE,Midfilder,234,52,11111
2600000,28,Southampton,Premier League,NGA,Forward,261,15,9961
2600000,21,Arsenal,Premier League,ENG,Forward,103,18,25242
2600000,25,Crystal Palace,Premier League,FRA,Forward,167,0,15568
2600000,22,Crystal Palace,Premier League,BEL,Midfilder,95,1,27368
2600000,24,Newcastle,Premier League,NIR,Defender,124,26,20967
2600000,32,West Ham,Premier League,ENG,Defender,465,3,5591
2600000,22,Juventus,Serie A,ITA,Forward,126,12,20634
2600000,30,Chelsea,Premier League,SEN,Goalkeeper,209,25,12440
2600000,26,Wolves,Premier League,POR,Forward,226,1,11504
2600000,24,Southampton,Premier League,MLI,Midfilder,113,29,23008
2600000,27,Crystal Palace,Premier League,ENG,Midfilder,295,0,8813
2600000,32,Southampton,Premier League,ENG,Goalkeeper,269,1,9665
2600000,26,Everton,Premier League,FRA,Forward,276,0,9420
2600000,27,Aston Villa,Premier League,ENG,Defender,166,3,15662
2600000,30,Newcastle,Premier League,ENG,Defender,325,0,8000
2600000,30,Brighton,Premier League,NED,Defender,252,28,10317
2600000,30,Leicester,Premier League,SEN,Midfilder,283,17,9187
2600000,18,Chelsea,Premier League,BRA,Midfilder,34,0,76470
2600000,20,Southampton,Premier League,GHA,Midfilder,76,11,34210
2600000,21,Tottenham,Premier League,ENG,Midfilder,84,0,30952
2600000,25,Southampton,Premier League,BRA,Defender,97,0,26804
2600000,25,Southampton,Premier League,CRO,Defender,238,23,10924
2600000,19,Udinese,Serie A,ITA,Defender,44,0,59090
2600000,22,Brentford,Premier League,DEN,Midfilder,136,16,19117
2600000,23,Everton,Premier League,UKR,Defender,108,27,24074
2600000,19,Southampton,Premier League,ARG,Midfilder,64,0,40625
2600000,30,Arsenal,Premier League,EGY,Midfilder,236,92,11016
2600000,25,Southampton,Premier League,ENG,Forward,292,0,8904
2600000,19,Leicester,Premier League,DEN,Defender,51,0,50980
2600000,22,Crystal Palace,Premier League,USA,Defender,77,8,33766
2592000,25,Chelsea,Premier League,SUI,Midfilder,196,40,13224
2586000,21,Barcelona,La Liga,ESP,Defender,46,17,56217
2586000,32,Hoffenheim,Bundesliga,GER,Goalkeeper,420,0,6157
2586000,26,Real San Sebastian,La Liga,NOR,Forward,226,42,11442
2586000,25,Bayer 04,Bundesliga,GER,Midfilder,213,5,12140
2579000,28,Getafe,La Liga,FRA,Defender,205,0,12580
2579000,24,PSG,Ligue 1 Uber Eats,FRA,Defender,184,1,14016
2579000,23,VfL Wolfsburg,Bundesliga,SWE,Midfilder,160,21,16118
2579000,25,Borussia M'gladbach,Bundesliga,SUI,Defender,253,38,10193
2579000,23,VfL Wolfsburg,Bundesliga,BEL,Defender,104,2,24798
2579000,23,Bayer 04,Bundesliga,BFA,Defender,118,29,21855
2579000,39,FC Porto,Primiera Liga,POR,Defender,495,128,5210
2579000,22,OL,Ligue 1 Uber Eats,FRA,Midfilder,74,0,34851
2579000,25,Hoffenheim,Bundesliga,ESP,Defender,179,0,14407
2579000,23,Bayer 04,Bundesliga,FRA,Midfilder,125,8,20632
2579000,24,Hertha Berlin,Bundesliga,BEL,Midfilder,160,4,16118
2579000,25,Borussia M'gladbach,Bundesliga,GER,Midfilder,174,10,14821
2579000,27,Borussia M'gladbach,Bundesliga,ALG,Defender,196,48,13158
2579000,22,RB Leipzig,Bundesliga,FRA,Defender,73,0,35328
2578000,25,Sevilla,La Liga,MAR,Forward,178,48,14483
2578000,32,1. FC Koln,Bundesliga,GER,Defender,414,43,6227
2578000,30,RB Leipzig,Bundesliga,GER,Defender,299,9,8622
2578000,25,RB Leipzig,Bundesliga,AUT,Defender,192,24,13427
2578000,24,Hoffenheim,Bundesliga,DEN,Forward,160,35,16112
2555000,19,Borussia Dortmund,Bundesliga,ENG,Midfilder,108,15,23657
2552000,25,Fiorentina,Serie A,ITA,Midfilder,183,1,13945
2552000,26,Torino,Serie A,PAR,Forward,196,29,13020
2552000,24,Inter,Serie A,ITA,Defender,141,4,18099
2552000,28,Atalanta,Serie A,ARG,Goalkeeper,162,2,15753
2550000,25,Villarreal,La Liga,ESP,Defender,205,19,12439
2494000,27,OM,Ligue 1 Uber Eats,FRA,Midfilder,206,0,12106
2472000,20,Bayer 04,Bundesliga,ECU,Defender,47,24,52595
2466000,31,Real Hispalis,La Liga,ESP,Defender,252,0,9785
2466000,25,Tottenham,Premier League,NED,Midfilder,134,6,18402
2466000,32,Real San Sebastian,La Liga,ESP,Midfilder,354,3,6966
2466000,22,Borussia Dortmund,Bundesliga,GER,Defender,94,4,26234
2466000,33,Valladolid,La Liga,ESP,Midfilder,408,0,6044
2431000,29,Lazio,Serie A,BRA,Forward,308,2,7892
2431000,21,Milan,Serie A,BEL,Forward,94,8,25861
